repo,file,line,verdict,confidence,reason
pytorch/botorch,cloned_repos/botorch/test/utils/test_safe_math.py,174,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
huggingface/transformers,cloned_repos/transformers/examples/pytorch/text-classification/run_glue_no_trainer.py,525,AMBIGUOUS,0.8,"Possible intentional accumulation: conditional optimizer.step/zero_grad with modulo at line 344; multiple optimizers {'optimizer_grouped_parameters', 'optimizer'}, zero_grad only on {'optimizer'}"
ultralytics/yolov5,cloned_repos/yolov5/classify/train.py,187,NO_SMELL,0.85,zero_grad present (zero_grad() found at lines [157])
pytorch/botorch,cloned_repos/botorch/test/utils/test_low_rank.py,136,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/acquisition/multi_objective/test_monte_carlo.py,1460,GENUINE,0.9,zero_grad() absent with no signs of intentional accumulation
pytorch/botorch,cloned_repos/botorch/test/acquisition/test_analytic.py,845,GENUINE,0.9,zero_grad() absent with no signs of intentional accumulation
pytorch/botorch,cloned_repos/botorch/test/utils/test_safe_math.py,78,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_safe_math.py,200,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
pytorch/botorch,cloned_repos/botorch/test/utils/test_rounding.py,90,AMBIGUOUS,0.95,"No optimizer present — no optimizer present — backward() is used for a non-training purpose (adversarial perturbation, profiling, custom gradient chain)"
huggingface/transformers,cloned_repos/transformers/examples/pytorch/image-classification/run_image_classification_no_trainer.py,476,AMBIGUOUS,0.65,"Possible intentional accumulation: multiple optimizers {'optimizer_grouped_parameters', 'optimizer'}, zero_grad only on {'optimizer'}"
